sample,mg_kg_NO3N,location,rep,plot,treatment,gwc,timepoint,mg_kg_NH4N,minN,pH
236,16.43940014,Karama,2,8,Desmodium + maize,0.101210121,Harvest 2,0.161613773,16.60101391,6.17
237,15.6488106,Karama,2,9,Desmodium + Brachiaria,0.088235294,Harvest 2,0.154085332,15.80289593,6
238,12.04410747,Karama,2,10,Napier grass,0.092997812,Harvest 2,0.294376529,12.338484,5.97
239,27.37079863,Karama,2,11,Desmodium + Napier,0.092997812,Harvest 2,1.062597305,28.43339594,5.74
240,17.15126391,Karama,2,12,Desmodium,0.095185996,Harvest 2,0.662691713,17.81395562,5.74
241,13.10759903,Karama,2,13,Brachiaria cv. Mulato II,0.090611354,Harvest 2,0.20242672,13.31002575,6.01
242,12.4288685,Karama,2,14,Maize monocrop,0.083423619,Harvest 2,0.082698536,12.51156704,6.34
243,17.71986592,Karama,3,15,Brachiaria cv. Mulato II,0.095185996,Harvest 2,0.129365446,17.84923137,6.09
244,20.66839343,Karama,3,16,Desmodium,0.089227421,Harvest 2,0.152011571,20.820405,5.83
245,12.25646111,Karama,3,17,Desmodium + maize,0.083333333,Harvest 2,0.07166472,12.32812583,6.66
246,16.45513882,Karama,3,18,Desmodium + Brachiaria,0.092896175,Harvest 2,0.112339608,16.56747843,6.7
247,15.9630573,Karama,3,19,Maize monocrop,0.089130435,Harvest 2,0.15978912,16.12284642,6.47
248,17.1902354,Karama,3,20,Desmodium + Napier,0.113207547,Harvest 2,0.291921894,17.48215729,6.27
249,11.87489294,Karama,3,21,Napier grass,0.093201754,Harvest 2,0.300707913,12.17560085,6.21
250,15.97814866,Karama,4,22,Desmodium + Brachiaria,0.098792536,Harvest 2,0.157368532,16.13551719,5.99
251,16.74845023,Karama,4,23,Maize monocrop,0.086862106,Harvest 2,0.119544141,16.86799437,6.06
252,15.10545223,Karama,4,24,Desmodium,0.073875803,Harvest 2,0.300914826,15.40636706,6.16
253,11.15529394,Karama,4,25,Napier grass,0.106312292,Harvest 2,0.177904194,11.33319813,6.09
254,11.12603185,Karama,4,26,Desmodium + Napier,0.103524229,Harvest 2,0.247141169,11.37317302,5.96
255,16.36006291,Karama,4,27,Brachiaria cv. Mulato II,0.103410341,Harvest 2,0.239186392,16.5992493,6.03
256,11.87913588,Karama,4,28,Desmodium + maize,0.090710383,Harvest 2,0.255244988,12.13438087,6.26
257,20.31270668,Burera,1,1,Brachiaria cv. Mulato II,0.195195195,Harvest 2,0.833090557,21.14579724,4.71
258,18.32637617,Burera,1,2,Napier grass,0.240677966,Harvest 2,0.7738891,19.10026527,4.63
259,29.38642443,Burera,1,3,Desmodium,0.214057508,Harvest 2,0.76227632,30.14870075,4.38
260,25.89673542,Burera,1,4,Maize monocrop,0.193624557,Harvest 2,0.981680597,26.87841602,4.43
261,36.08001405,Burera,1,5,Desmodium + maize,0.221854305,Harvest 2,0.998563099,37.07857715,4.34
262,28.88158589,Burera,1,6,Desmodium + Brachiaria,0.213930348,Harvest 2,1.028248411,29.9098343,4.43
263,18.97352187,Burera,1,7,Desmodium + Napier,0.204918033,Harvest 2,0.819444896,19.79296677,4.32
264,21.57545734,Burera,2,8,Desmodium + maize,0.205997392,Harvest 2,0.885442679,22.46090002,4.61
265,16.15886712,Burera,2,9,Desmodium + Brachiaria,0.182985554,Harvest 2,0.835136794,16.99400391,4.72
266,13.1418582,Burera,2,10,Napier grass,0.209973753,Harvest 2,0.913090783,14.05494898,4.55
267,10.64781609,Burera,2,11,Desmodium + Napier,0.212658228,Harvest 2,0.94610801,11.5939241,4.57
268,25.28862871,Burera,2,12,Desmodium,0.22327044,Harvest 2,0.953762213,26.24239092,4.4
269,8.690345696,Burera,2,13,Brachiaria cv. Mulato II,0.204398448,Harvest 2,0.691353596,9.381699292,4.61
270,9.837798445,Burera,2,14,Maize monocrop,0.205405405,Harvest 2,0.756257274,10.59405572,4.66
271,25.90369007,Burera,3,15,Brachiaria cv. Mulato II,0.198707593,Harvest 2,1.041630835,26.94532091,4.29
272,19.84312999,Burera,3,16,Desmodium,0.195443645,Harvest 2,0.859277515,20.70240751,4.31
273,16.86252887,Burera,3,17,Desmodium + maize,0.208264463,Harvest 2,0.922963542,17.78549241,4.49
274,17.82350536,Burera,3,18,Desmodium + Brachiaria,0.216621253,Harvest 2,1.018610222,18.84211558,4.41
275,19.38006248,Burera,3,19,Maize monocrop,0.183353438,Harvest 2,0.933614962,20.31367744,4.52
276,12.82383377,Burera,3,20,Desmodium + Napier,0.205211726,Harvest 2,0.802264272,13.62609804,4.37
277,13.02649567,Burera,3,21,Napier grass,0.214765101,Harvest 2,0.790823206,13.81731888,4.51
278,10.86879739,Burera,4,22,Desmodium + Brachiaria,0.177033493,Harvest 2,0.878441287,11.74723868,4.52
279,9.88396498,Burera,4,23,Maize monocrop,0.187347932,Harvest 2,0.960905551,10.84487053,4.72
280,16.00518846,Burera,4,24,Desmodium,0.201986755,Harvest 2,0.802056011,16.80724447,4.58
281,6.884714832,Burera,4,25,Napier grass,0.141073658,Harvest 2,0.764008354,7.648723186,4.56
282,5.922053722,Burera,4,26,Desmodium + Napier,0.179066835,Harvest 2,0.688666381,6.610720103,4.67
283,6.680540056,Burera,4,27,Brachiaria cv. Mulato II,0.197712418,Harvest 2,0.678926457,7.359466513,4.7
284,7.269314983,Burera,4,28,Desmodium + maize,0.174876847,Harvest 2,0.644301151,7.913616134,4.71
301,5.273407529,Rubona,1,1,Brachiaria cv. Mulato II,0.075381679,Harvest 3,0.240208931,5.51361646,5.35
302,2.070442916,Rubona,1,2,Napier grass,0.076635514,Harvest 3,0.285513361,2.355956277,5.41
303,5.870740726,Rubona,1,3,Desmodium,0.076271186,Harvest 3,0.159028938,6.029769664,5.31
304,11.76667628,Rubona,1,4,Maize monocrop,0.070450098,Harvest 3,0.991670217,12.7583465,5.25
305,6.867506567,Rubona,1,5,Desmodium + maize,0.083573487,Harvest 3,0.202247285,7.069753852,5.28
306,4.529166865,Rubona,1,6,Desmodium + Brachiaria,0.120197044,Harvest 3,0.426831507,4.955998372,5.48
307,0.500879283,Rubona,1,7,Desmodium + Napier,0.080708661,Harvest 3,0.250840294,0.751719577,5.89
308,9.380461196,Rubona,2,8,Desmodium + maize,0.084645669,Harvest 3,0.247759105,9.628220301,5.68
309,5.600007234,Rubona,2,9,Desmodium + Brachiaria,0.064102564,Harvest 3,0.415696686,6.01570392,5.63
310,2.558845978,Rubona,2,10,Napier grass,0.069268293,Harvest 3,0.21825002,2.777095998,5.52
311,1.721296491,Rubona,2,11,Desmodium + Napier,0.059165858,Harvest 3,0.268985051,1.990281542,5.37
312,5.244788088,Rubona,2,12,Desmodium,0.061764706,Harvest 3,0.315673737,5.560461825,5.18
313,2.377703442,Rubona,2,13,Brachiaria cv. Mulato II,0.065913371,Harvest 3,0.104230076,2.481933518,5.26
314,9.990296807,Rubona,2,14,Maize monocrop,0.075386013,Harvest 3,0.02350992,10.01380673,5.25
315,8.990868544,Rubona,3,15,Brachiaria cv. Mulato II,0.080340265,Harvest 3,0.052359269,9.043227813,5.32
316,19.15663568,Rubona,3,16,Desmodium,0.096806387,Harvest 3,0.217742394,19.37437807,5.17
317,11.81575033,Rubona,3,17,Desmodium + maize,0.093161546,Harvest 3,0.262379445,12.07812978,5.11
318,3.594625692,Rubona,3,18,Desmodium + Brachiaria,0.073076923,Harvest 3,0.625143652,4.219769344,5.24
319,12.90523351,Rubona,3,19,Maize monocrop,0.085798817,Harvest 3,0.108272954,13.01350646,5.24
320,1.748013871,Rubona,3,20,Desmodium + Napier,0.08460076,Harvest 3,0.271588707,2.019602578,5.52
321,3.672373391,Rubona,3,21,Napier grass,0.085170341,Harvest 3,0.198355741,3.870729132,5.53
322,4.754537723,Rubona,4,22,Desmodium + Brachiaria,0.062317429,Harvest 3,0.17152792,4.926065643,5.59
323,4.551660517,Rubona,4,23,Maize monocrop,0.07135778,Harvest 3,0.074443355,4.626103872,5.4
324,7.342378221,Rubona,4,24,Desmodium,0.057251908,Harvest 3,0.144489547,7.486867768,5.18
325,1.379808165,Rubona,4,25,Napier grass,0.07063197,Harvest 3,0.126561326,1.506369491,5.22
326,0.667667304,Rubona,4,26,Desmodium + Napier,0.063848921,Harvest 3,0.054441883,0.722109187,5.39
327,5.195346352,Rubona,4,27,Brachiaria cv. Mulato II,0.0625,Harvest 3,0.162942893,5.358289245,5.33
328,13.54496177,Rubona,4,28,Desmodium + maize,0.12142152,Harvest 3,0.198677659,13.74363943,5.29
329,16.38940926,Karama,1,1,Brachiaria cv. Mulato II,0.165952891,Harvest 3,2.767145361,19.15655462,5.42
330,15.08110408,Karama,1,2,Napier grass,0.167019027,Harvest 3,12.00641408,27.08751816,5.84
331,32.48215627,Karama,1,3,Desmodium,0.141509434,Harvest 3,0.368293961,32.85045023,5.89
332,23.34437276,Karama,1,4,Maize monocrop,0.16972973,Harvest 3,0.249878142,23.5942509,6.07
333,27.04696686,Karama,1,5,Desmodium + maize,0.172774869,Harvest 3,0.211073313,27.25804017,5.79
334,19.21971987,Karama,1,6,Desmodium + Brachiaria,0.08991009,Harvest 3,6.511844768,25.73156464,5.57
335,30.16868103,Karama,1,7,Desmodium + Napier,0.166495375,Harvest 3,0.1652509,30.33393193,6.15
336,26.38632479,Karama,2,8,Desmodium + maize,0.177435897,Harvest 3,0.194299131,26.58062392,5.99
337,26.90589097,Karama,2,9,Desmodium + Brachiaria,0.184599156,Harvest 3,2.363090573,29.26898154,5.93
338,9.18924151,Karama,2,10,Napier grass,0.162618796,Harvest 3,10.26866553,19.45790704,5.81
339,14.52601502,Karama,2,11,Desmodium + Napier,0.173913043,Harvest 3,10.68463651,25.21065153,5.73
340,24.01961691,Karama,2,12,Desmodium,0.203333333,Harvest 3,0.418862354,24.43847926,5.6
341,25.19092074,Karama,2,13,Brachiaria cv. Mulato II,0.159672467,Harvest 3,1.890256935,27.08117768,5.87
342,25.75986972,Karama,2,14,Maize monocrop,0.156122449,Harvest 3,0.309185271,26.06905499,6.29
343,24.42248279,Karama,3,15,Brachiaria cv. Mulato II,0.165289256,Harvest 3,2.531020775,26.95350357,6
344,21.18037486,Karama,3,16,Desmodium,0.189485214,Harvest 3,5.845586516,27.02596138,5.52
345,24.4922306,Karama,3,17,Desmodium + maize,0.173684211,Harvest 3,0.521158539,25.01338914,5.78
346,23.26633125,Karama,3,18,Desmodium + Brachiaria,0.185185185,Harvest 3,0.202589798,23.46892105,5.83
347,19.22915685,Karama,3,19,Maize monocrop,0.182006205,Harvest 3,0.28299831,19.51215516,6.07
348,30.60274202,Karama,3,20,Desmodium + Napier,0.204356846,Harvest 3,4.222621703,34.82536372,6.02
349,23.41448315,Karama,3,21,Napier grass,0.207329843,Harvest 3,8.797546772,32.21202992,5.85
350,24.51751744,Karama,4,22,Desmodium + Brachiaria,0.165970772,Harvest 3,0.56664683,25.08416427,5.7
351,23.99743381,Karama,4,23,Maize monocrop,0.178534572,Harvest 3,4.985049744,28.98248355,5.74
352,18.36211051,Karama,4,24,Desmodium,0.175604627,Harvest 3,0.197194924,18.55930543,5.88
353,29.38183045,Karama,4,25,Napier grass,0.180061038,Harvest 3,0.337412138,29.71924259,5.75
354,28.32553001,Karama,4,26,Desmodium + Napier,0.182410423,Harvest 3,1.027243139,29.35277315,5.62
355,19.70526597,Karama,4,27,Brachiaria cv. Mulato II,0.176842105,Harvest 3,0.368391262,20.07365723,6.23
356,25.7527742,Karama,4,28,Desmodium + maize,0.159798995,Harvest 3,0.273472597,26.0262468,6.22
357,21.69506837,Burera,1,1,Brachiaria cv. Mulato II,0.282282282,Harvest 3,0.720501313,22.41556968,4.76
358,24.9976547,Burera,1,2,Napier grass,0.292740047,Harvest 3,0.784636136,25.78229084,4.61
359,-0.387854064,Burera,1,3,Desmodium,0.260321101,Harvest 3,0.753694645,0.365840581,4.72
360,26.16226306,Burera,1,4,Maize monocrop,0.285714286,Harvest 3,1.127365551,27.28962861,4.58
361,31.87439119,Burera,1,5,Desmodium + maize,0.315049226,Harvest 3,0.790381653,32.66477284,4.4
362,20.78548373,Burera,1,6,Desmodium + Brachiaria,0.284908322,Harvest 3,0.826143111,21.61162684,4.51
363,18.73812447,Burera,1,7,Desmodium + Napier,0.281666667,Harvest 3,0.80305767,19.54118214,4.52
364,-0.187079656,Burera,2,8,Desmodium + maize,0.279792746,Harvest 3,0.677842326,0.49076267,4.86
365,-0.435429027,Burera,2,9,Desmodium + Brachiaria,0.27283237,Harvest 3,0.459291447,0.02386242,4.83
366,17.66999973,Burera,2,10,Napier grass,0.253196931,Harvest 3,0.767074609,18.43707434,4.63
367,15.15041802,Burera,2,11,Desmodium + Napier,0.289405685,Harvest 3,0.761824756,15.91224278,4.67
368,21.71876462,Burera,2,12,Desmodium,0.266119578,Harvest 3,0.73573042,22.45449504,4.38
369,-0.238425168,Burera,2,13,Brachiaria cv. Mulato II,0.276595745,Harvest 3,0.434495068,0.1960699,4.98
370,0.274913657,Burera,2,14,Maize monocrop,0.248863636,Harvest 3,0.455767103,0.73068076,4.77
371,29.51183445,Burera,3,15,Brachiaria cv. Mulato II,0.291139241,Harvest 3,0.809556636,30.32139109,4.43
372,31.05751977,Burera,3,16,Desmodium,0.290085679,Harvest 3,0.796457945,31.85397772,4.39
373,30.26946168,Burera,3,17,Desmodium + maize,0.318996416,Harvest 3,0.855771687,31.12523337,4.5
374,27.89754096,Burera,3,18,Desmodium + Brachiaria,0.302994012,Harvest 3,0.672959826,28.57050079,4.33
375,22.36817198,Burera,3,19,Maize monocrop,0.276218612,Harvest 3,0.645329556,23.01350154,4.46
376,17.5102871,Burera,3,20,Desmodium + Napier,0.323566879,Harvest 3,0.792879551,18.30316665,4.45
377,16.67740187,Burera,3,21,Napier grass,0.296296296,Harvest 3,0.574069251,17.25147112,4.56
378,2.824698603,Burera,4,22,Desmodium + Brachiaria,0.281803543,Harvest 3,0.736390215,3.561088818,4.7
379,22.62666603,Burera,4,23,Maize monocrop,0.272938444,Harvest 3,0.531123292,23.15778932,4.78
380,21.69603589,Burera,4,24,Desmodium,0.266836086,Harvest 3,0.673793128,22.36982902,4.67
381,21.46072367,Burera,4,25,Napier grass,0.280503145,Harvest 3,0.797848129,22.2585718,4.64
382,15.20156127,Burera,4,26,Desmodium + Napier,0.269861286,Harvest 3,0.751781503,15.95334277,4.65
383,14.81120411,Burera,4,27,Brachiaria cv. Mulato II,0.245391705,Harvest 3,0.752057463,15.56326157,4.65
384,13.58659582,Burera,4,28,Desmodium + maize,0.250970246,Harvest 3,0.472950636,14.05954646,4.75
401,7.359821439,Rubona,1,1,Brachiaria cv. Mulato II,0.130560928,Harvest 4,0.120394227,7.480215666,5.4
