sample,N.corrected,d15N.corrected,protein,adf,ndf,lignin
678,1.371,4.9745,9.16,26.27,66.44,1.2
679,3.562,2.975,20.22,33.78,33.07,10.36
68,2.794083381,0.2585449975,14.56,41.24,51.52,9.23
680,2.2845,8.138,15.48,38.8,71.71,4.11
69,1.684571187,3.540217424,8.45,34.8,70.48,-0.05
7,3.220068391,-2.79852977,17.78,34.59,40.88,7.61
70,1.814244681,6.099962372,9.44,41.32,75.58,3
71,2.498742748,3.288970795,12.34,39.95,47.27,9.74
72,2.121542818,7.391984735,8.65,26.08,61.86,-2.55
73,0.994105894,3.573891012,6.65,41.17,78.03,5.17
74,2.846580236,3.537986919,14.43,36.02,37.65,7.98
75,2.204938443,4.532630371,12.67,37.1,67.7,1.44
76,3.064493827,1.0607740430000001,15.925,39.504999999999995,48.025000000000006,9.035
77,1.679336596,4.855199148,10.13,36.55,70.36,1.48
78,1.393625293,6.509012921,2.68,28.23,71.53,-2.95
79,2.493064798,6.815561808,12.65,41.21,50.63,9.62
8,1.769844396,3.265260284,7.67,26.88,65.1,1.11
80,0.774419583,2.525528487,2.74,39.72,77.45,4.7
81,2.086334285,6.960660436,5.09,30.49,69.7,-4.18
82,2.322087179,10.5486786,7.37,42.63,86.19,3.76
83,3.520207845,6.21038884,17.17,44.3,68.66,4.95
84,1.097379316,4.199970559,5.56,39.9,80.07,4.43
85,3.151174545,6.216802434,15.58,46.47,72.34,5.85
86,1.354704984,4.476839025,6.2,39.58,74.05,2.78
87,3.138637132,6.306876404,16.86,45.37,72.8,9.5
88,2.403597084,6.198453257,7.5,29.51,65.42,-2.02
89,3.196734647,6.232991892,14.86,46.75,78.8,7.67
9,3.136404281,-1.715220026,17.94,36.2,49.56,6.4
90,2.131422814,10.14607829,8.51,41.4,83.4,2.78
91,2.109298045,10.22885918,4.88,39.43,80.06,3.38
93,3.205806273,1.92935895,15.88,39.3,66.82,6.34
94,1.341,6.735,2.26,31.87,74.8,-0.71
95,1.1623016,9.102459224,2.76,41.64,84.68,1.08
96,3.20519763,-0.073517903,15.33,38.09,62.25,5.77
97,2.005,11.471,7.74,41.68,80.27,3.75
98,3.173469521,1.828648338,15.36,45.74,70.1,9.49
99,2.142839571,7.016196407,7.86,29.19,71.47,-1.32
