sample,location,treatment,species,timepoint,block
120R,Burera,Desmodium + maize,Maize,1,4
201R,Rubona,Brachiaria cv. Mulato II ,Brachiaria,2,1
202R,Rubona,Napier ,Napier,2,1
203R,Rubona,Desmodium ,Desmodium,2,1
204R,Rubona,Maize monocrop ,Maize,2,1
205R,Rubona,Desmodium + maize,Desmodium,2,1
206R,Rubona,Desmodium + maize,Maize,2,1
207R,Rubona,Desmodium + Brachiaria ,Desmodium,2,1
208R,Rubona,Desmodium + Brachiaria ,Brachiaria,2,1
209R,Rubona,Napier + Desmodium,Desmodium,2,1
210R,Rubona,Napier + Desmodium,Napier,2,1
211R,Rubona,Desmodium + maize,Desmodium,2,2
212R,Rubona,Desmodium + maize,Maize,2,2
213R,Rubona,Desmodium + Brachiaria ,Desmodium,2,2
214R,Rubona,Desmodium + Brachiaria ,Brachiaria,2,2
215R,Rubona,Napier,Napier,2,2
216R,Rubona,Napier + Desmodium,Desmodium,2,2
217R,Rubona,Napier + Desmodium,Napier,2,2
218R,Rubona,Desmodium,Desmodium,2,2
219R,Rubona,Brachiaria cv. Mulato II ,Brachiaria,2,2
220R,Rubona,Maize,Maize,2,2
221R,Rubona,Brachiaria cv. Mulato II ,Brachiaria,2,3
222R,Rubona,Desmodium,Desmodium,2,3
223R,Rubona,Desmodium + maize,Desmodium,2,3
224R,Rubona,Desmodium + maize,Maize,2,3
225R,Rubona,Desmodium + Brachiaria,Desmodium,2,3
226R,Rubona,Desmodium + Brachiaria,Brachiaria,2,3
227R,Rubona,Maize monocrop,Maize,2,3
228R,Rubona,Napier + Desmodium,Desmodium,2,3
229R,Rubona,Napier + Desmodium,Napier,2,3
230R,Rubona,Napier,Napier,2,3
231R,Rubona,Desmodium + Brachiaria,Desmodium,2,4
232R,Rubona,Desmodium + Brachiaria,Brachiaria,2,4
233R,Rubona,Maize monocrop,Maize,2,4
234R,Rubona,Desmodium,Desmodium,2,4
235R,Rubona,Napier,Napier,2,4
236R,Rubona,Napier + Desmodium,Desmodium,2,4
237R,Rubona,Napier + Desmodium,Napier,2,4
238R,Rubona,Brachiaria v. Mulato II ,Brachiaria,2,4
239R,Rubona,Desmodium + maize,Desmodium,2,4
240R,Rubona,Desmodium + maize,Maize,2,4
241R,Karama,Brachiaria cv. Mulato II ,Brachiaria,2,1
242R,Karama,Napier ,Napier,2,1
243R,Karama,Desmodium ,Desmodium,2,1
244R,Karama,Maize monocrop ,Maize,2,1
245R,Karama,Desmodium + maize,Desmodium,2,1
246R,Karama,Desmodium + maize,Maize,2,1
247R,Karama,Desmodium + Brachiaria ,Desmodium,2,1
248R,Karama,Desmodium + Brachiaria ,Brachiaria,2,1
249R,Karama,Napier + Desmodium,Desmodium,2,1
250R,Karama,Napier + Desmodium,Napier,2,1
251R,Karama,Desmodium + maize,Desmodium,2,2
252R,Karama,Desmodium + maize,Maize,2,2
253R,Karama,Desmodium + Brachiaria ,Desmodium,2,2
254R,Karama,Desmodium + Brachiaria ,Brachiaria,2,2
255R,Karama,Napier,Napier,2,2
256R,Karama,Napier + Desmodium,Desmodium,2,2
257R,Karama,Napier + Desmodium,Napier,2,2
258R,Karama,Desmodium,Desmodium,2,2
259R,Karama,Brachiaria cv. Mulato II ,Brachiaria,2,2
260R,Karama,Maize,Maize,2,2
261R,Karama,Brachiaria cv. Mulato II ,Brachiaria,2,3
222R,Karama,Desmodium,Desmodium,2,3
263R,Karama,Desmodium + maize,Desmodium,2,3
264R,Karama,Desmodium + maize,Maize,2,3
265R,Karama,Desmodium + Brachiaria,Desmodium,2,3
266R,Karama,Desmodium + Brachiaria,Brachiaria,2,3
267R,Karama,Maize monocrop,Maize,2,3
268R,Karama,Napier + Desmodium,Desmodium,2,3
269R,Karama,Napier + Desmodium,Napier,2,3
270R,Karama,Napier,Napier,2,3
271R,Karama,Desmodium + Brachiaria,Desmodium,2,4
272R,Karama,Desmodium + Brachiaria,Brachiaria,2,4
273R,Karama,Maize monocrop,Maize,2,4
274R,Karama,Desmodium,Desmodium,2,4
275R,Karama,Napier,Napier,2,4
276R,Karama,Napier + Desmodium,Desmodium,2,4
277R,Karama,Napier + Desmodium,Napier,2,4
278R,Karama,Brachiaria v. Mulato II ,Brachiaria,2,4
279R,Karama,Desmodium + maize,Desmodium,2,4
280R,Karama,Desmodium + maize,Maize,2,4
281R,Burera,Brachiaria cv. Mulato II ,Brachiaria,2,1
282R,Burera,Napier ,Napier,2,1
283R,Burera,Desmodium ,Desmodium,2,1
284R,Burera,Maize monocrop ,Maize,2,1
285R,Burera,Desmodium + maize,Desmodium,2,1
286R,Burera,Desmodium + maize,Maize,2,1
287R,Burera,Desmodium + Brachiaria ,Desmodium,2,1
288R,Burera,Desmodium + Brachiaria ,Brachiaria,2,1
289R,Burera,Napier + Desmodium,Desmodium,2,1
290R,Burera,Napier + Desmodium,Napier,2,1
291R,Burera,Desmodium + maize,Desmodium,2,2
292R,Burera,Desmodium + maize,Maize,2,2
293R,Burera,Desmodium + Brachiaria ,Desmodium,2,2
294R,Burera,Desmodium + Brachiaria ,Brachiaria,2,2
295R,Burera,Napier,Napier,2,2
296R,Burera,Napier + Desmodium,Desmodium,2,2
297R,Burera,Napier + Desmodium,Napier,2,2
298R,Burera,Desmodium,Desmodium,2,2
299R,Burera,Brachiaria cv. Mulato II ,Brachiaria,2,2
300R,Burera,Maize,Maize,2,2
301R,Burera,Brachiaria cv. Mulato II ,Brachiaria,2,3
302R,Burera,Desmodium,Desmodium,2,3
303R,Burera,Desmodium + maize,Desmodium,2,3
304R,Burera,Desmodium + maize,Maize,2,3
305R,Burera,Desmodium + Brachiaria,Desmodium,2,3
306R,Burera,Desmodium + Brachiaria,Brachiaria,2,3
307R,Burera,Maize monocrop,Maize,2,3
308R,Burera,Napier + Desmodium,Desmodium,2,3
309R,Burera,Napier + Desmodium,Napier,2,3
310R,Burera,Napier,Napier,2,3
311R,Burera,Desmodium + Brachiaria,Desmodium,2,4
312R,Burera,Desmodium + Brachiaria,Brachiaria,2,4
