sample,gwc,moist_soil,truesoil,location,rep,plot,treatment,timepoint,pH
176,0.327195467,10.01,6.734773371,Burera,3,20,Desmodium + Napier,1,4.41
177,0.305916306,10.01,6.947777778,Burera,3,21,Napier grass,1,4.51
178,0.297909408,9.98,7.006864111,Burera,4,22,Desmodium + Brachiaria ,1,4.53
179,0.296551724,10.01,7.041517241,Burera,4,23,Maize monocrop,1,4.88
180,0.294627383,10.01,7.060779896,Burera,4,24,Desmodium,1,4.68
181,0.297063903,9.95,6.994214162,Burera,4,25,Napier grass,1,4.61
182,0.267111853,10.04,7.358196995,Burera,4,26,Desmodium + Napier,1,4.59
183,0.286212914,9.97,7.116457243,Burera,4,27,Brachiaria cv. Mulato II ,1,4.63
184,0.28109029,10.01,7.196286201,Burera,4,28,Desmodium + maize ,1,4.7
201,0.089970501,10.01,9.10939528,Rubona,1,1,Brachiaria cv. Mulato II ,2,5.62
202,0.084671533,9.99,9.144131387,Rubona,1,2,Napier grass,2,5.63
203,0.087407407,9.97,9.098548148,Rubona,1,3,Desmodium ,2,5.88
204,0.078055965,9.98,9.201001473,Rubona,1,4,Maize monocrop ,2,5.64
205,0.077697842,10.01,9.232244604,Rubona,1,5,Desmodium + maize ,2,5.62
206,0.092511013,10.02,9.093039648,Rubona,1,6,Desmodium + Brachiaria ,2,5.69
207,0.082132565,10.02,9.1970317,Rubona,1,7,Desmodium + Napier,2,5.59
208,0.075362319,10.03,9.274115942,Rubona,2,8,Desmodium + maize ,2,5.56
209,0.080882353,9.97,9.163602941,Rubona,2,9,Desmodium + Brachiaria ,2,5.5
210,0.072961373,9.98,9.251845494,Rubona,2,10,Napier grass,2,5.7
211,0.074179743,9.97,9.23042796,Rubona,2,11,Desmodium + Napier,2,5.5
212,0.08320951,10.02,9.186240713,Rubona,2,12,Desmodium,2,5.41
213,0.081513828,9.97,9.157307132,Rubona,2,13,Brachiaria cv. Mulato II ,2,5.5
214,0.077147016,10.04,9.265443959,Rubona,2,14,Maize monocrop,2,5.67
215,0.089285714,10.02,9.125357143,Rubona,3,15,Brachiaria cv. Mulato II ,2,5.45
216,0.098214286,9.98,8.999821429,Rubona,3,16,Desmodium,2,5.4
217,0.080882353,9.96,9.154411765,Rubona,3,17,Desmodium + maize ,2,5.5
218,0.076149425,10.02,9.256982759,Rubona,3,18,Desmodium + Brachiaria ,2,5.54
219,0.09375,10.03,9.0896875,Rubona,3,19,Maize monocrop,2,5.47
220,0.096240602,10.03,9.064706767,Rubona,3,20,Desmodium + Napier,2,5.71
221,0.087149188,9.96,9.091994092,Rubona,3,21,Napier grass,2,5.77
222,0.078055965,9.96,9.182562592,Rubona,4,22,Desmodium + Brachiaria ,2,5.84
223,0.082717873,10.04,9.209512555,Rubona,4,23,Maize monocrop,2,5.65
224,0.079295154,9.99,9.19784141,Rubona,4,24,Desmodium,2,5.48
225,0.082352941,10,9.176470588,Rubona,4,25,Napier grass,2,5.49
226,0.081991215,9.99,9.17090776,Rubona,4,26,Desmodium + Napier,2,5.57
227,0.067919075,9.98,9.30216763,Rubona,4,27,Brachiaria cv. Mulato II ,2,5.64
228,0.071637427,9.99,9.274342105,Rubona,4,28,Desmodium + maize ,2,5.64
229,0.098792536,9.99,9.003062569,Karama,1,1,Brachiaria cv. Mulato II ,2,5.75
230,0.085590466,10.01,9.153239437,Karama,1,2,Napier grass ,2,5.83
231,0.085963003,10,9.140369967,Karama,1,3,Desmodium ,2,5.76
232,0.082340195,10.01,9.185774648,Karama,1,4,Maize monocrop ,2,5.89
233,0.200721154,10.04,8.024759615,Karama,1,5,Desmodium + maize ,2,5.99
234,0.090710383,9.96,9.05652459,Karama,1,6,Desmodium + Brachiaria ,2,6.12
235,0.080906149,9.98,9.172556634,Karama,1,7,Desmodium + Napier,2,6.27
236,0.101210121,10.03,9.014862486,Karama,2,8,Desmodium + maize ,2,6.17
237,0.088235294,10.02,9.135882353,Karama,2,9,Desmodium + Brachiaria ,2,6
238,0.092997812,10.01,9.079091904,Karama,2,10,Napier grass,2,5.97
239,0.092997812,10.02,9.088161926,Karama,2,11,Desmodium + Napier,2,5.74
240,0.095185996,9.99,9.039091904,Karama,2,12,Desmodium,2,5.74
241,0.090611354,10,9.093886463,Karama,2,13,Brachiaria cv. Mulato II ,2,6.01
242,0.083423619,10,9.165763814,Karama,2,14,Maize monocrop,2,6.34
243,0.095185996,10.05,9.093380744,Karama,3,15,Brachiaria cv. Mulato II ,2,6.09
