batch,sample,N.corrected,d15N.corrected,corrected.CN,timepoint,species,rep,plot,treatment,location,intercrop,beta,d15N_ref,ndfa
3,283L,3.103,5.209,13.365,2,Desmodium,1,3,Desmodium,Burera,no,-1.55,5.295992507,1.270707017
3,289L,3.082,4.391,13.976,2,Desmodium,1,7,Desmodium + Napier,Burera,yes,-1.55,5.295992507,13.21930321
3,291L,2.841,4.575,14.767,2,Desmodium,2,8,Desmodium + maize,Burera,yes,-1.55,5.295992507,10.53159942
3,293L,2.583,0.542,16.767,2,Desmodium,2,9,Desmodium + Brachiaria,Burera,yes,-1.55,5.295992507,69.44197649
3,296L,2.258,-0.146,19.094,2,Desmodium,2,11,Desmodium + Napier,Burera,yes,-1.55,5.295992507,79.49165152
3,298L,2.734,4.206,15.877,2,Desmodium,2,12,Desmodium,Burera,no,-1.55,5.295992507,15.92161408
3,303L,3.348,5.275,12.672,2,Desmodium,3,17,Desmodium + maize,Burera,yes,-1.55,5.295992507,0.306639353
3,305L,3.008,4.825,13.799,2,Desmodium,3,18,Desmodium + Brachiaria,Burera,yes,-1.55,5.295992507,6.879827967
3,308L,2.733,3.717,15.816,2,Desmodium,3,20,Desmodium + Napier,Burera,yes,-1.55,5.295992507,23.06447904
3,311L,2.584,-0.801,17.142,2,Desmodium,4,22,Desmodium + Brachiaria,Burera,yes,-1.55,5.295992507,89.05929273
4,314L,2.071,0.008,28.728,2,Desmodium,4,24,Desmodium,Burera,no,-1.55,5.295992507,77.24216031
4,319L,1.363,-0.722,45.303,2,Desmodium,4,28,Desmodium + maize,Burera,yes,-1.55,5.295992507,87.90533295
4,403L,1.944,-1.48,32.107,3,Desmodium,1,3,Desmodium,Rubona,no,-1.55,4.127350146,98.76703042
4,407L,2.216,-3.215,28.35,3,Desmodium,1,6,Desmodium + Brachiaria,Rubona,yes,-1.55,4.127350146,129.327062
4,409L,2.035,-5.813,30.538,3,Desmodium,1,7,Desmodium + Napier,Rubona,yes,-1.55,4.127350146,175.0878471
4,411L,2.452,-1.89,25.396,3,Desmodium,2,8,Desmodium + maize,Rubona,yes,-1.55,4.127350146,105.9887094
4,413L,1.931,-2.245,32.229,3,Desmodium,2,9,Desmodium + Brachiaria,Rubona,yes,-1.55,4.127350146,112.2416265
4,418L,1.981,1.054,30.599,3,Desmodium,2,12,Desmodium,Rubona,no,-1.55,4.127350146,54.13353179
4,422L,2.187,-1.03,28.009,3,Desmodium,3,16,Desmodium,Rubona,no,-1.55,4.127350146,90.84079744
4,425L,2.08,-4.543,30.415,3,Desmodium,3,18,Desmodium + Brachiaria,Rubona,yes,-1.55,4.127350146,152.7182563
4,428L,1.976,-3.027,31.608,3,Desmodium,3,20,Desmodium + Napier,Rubona,yes,-1.55,4.127350146,126.015658
4,434L,1.876,-2.071,32.272,3,Desmodium,4,24,Desmodium,Rubona,no,-1.55,4.127350146,109.1768164
4,436L,1.77,-5.007,35.335,3,Desmodium,4,26,Desmodium + Napier,Rubona,yes,-1.55,4.127350146,160.8910832
4,439L,2.626,-0.281,23.579,3,Desmodium,4,28,Desmodium + maize,Rubona,yes,-1.55,4.127350146,77.64802298
4,443L,1.758,1.55,35.265,3,Desmodium,1,3,Desmodium,Karama,no,-1.55,4.557221779,49.24042204
4,445L,1.938,1.529,31.184,3,Desmodium,1,5,Desmodium + maize,Karama,yes,-1.55,4.557221779,49.58427724
4,447L,1.813,4.134,35.321,3,Desmodium,1,6,Desmodium + Brachiaria,Karama,yes,-1.55,4.557221779,6.929857699
4,451L,1.843,-0.976,32.501,3,Desmodium,2,8,Desmodium + maize,Karama,yes,-1.55,4.557221779,90.60129105
4,458L,1.906,0.171,32.491,3,Desmodium,2,12,Desmodium,Karama,no,-1.55,4.557221779,71.8202472
4,462L,1.689,1.383,37.07,3,Desmodium,3,16,Desmodium,Karama,no,-1.55,4.557221779,51.97488963
5,471L,2.463,1.211,1.404,3,Desmodium,4,22,Desmodium + Brachiaria,Karama,yes,-1.55,4.557221779,54.7912275
5,474L,2.648,2.593,1.188,3,Desmodium,4,24,Desmodium,Karama,no,-1.55,4.557221779,32.16228016
5,476L,2.713,-1.692,1.339,3,Desmodium,4,26,Desmodium + Napier,Karama,yes,-1.55,4.557221779,102.3251162
5,491L,3.94,4.426,0.959,3,Desmodium,2,8,Desmodium + maize,Burera,yes,-1.55,5.295992507,12.70805521
5,493L,3.704,0.308,1.198,3,Desmodium,2,9,Desmodium + Brachiaria,Burera,yes,-1.55,5.295992507,72.86003457
5,496L,3.106,-0.341,1.293,3,Desmodium,2,11,Desmodium + Napier,Burera,yes,-1.55,5.295992507,82.34003326
5,498L,3.864,3.289,1.163,3,Desmodium,2,12,Desmodium,Burera,no,-1.55,5.295992507,29.31631177
5,508L,3.392,2.896,1.16,3,Desmodium,3,20,Desmodium + Napier,Burera,yes,-1.55,5.295992507,35.05689649
5,511L,3.306,2.465,1.182,3,Desmodium,4,22,Desmodium + Brachiaria,Burera,yes,-1.55,5.295992507,41.35255048
5,514L,3.841,3.057,1.334,3,Desmodium,4,24,Desmodium,Burera,no,-1.55,5.295992507,32.70515568
5,603L,3.529,2.767,0.998,4,Desmodium,1,3,Desmodium,Rubona,no,-1.55,4.127350146,23.96100489
5,609L,4.037,-0.25,0.934,4,Desmodium,1,7,Desmodium + Napier,Rubona,yes,-1.55,4.127350146,77.1019936
5,611L,3.391,3.504,1.068,4,Desmodium,2,8,Desmodium + maize,Rubona,yes,-1.55,4.127350146,10.97959665
5,613L,3.251,0.843,0.974,4,Desmodium,2,9,Desmodium + Brachiaria,Rubona,yes,-1.55,4.127350146,57.85005437
5,616L,3.401,-0.24,1.278,4,Desmodium,2,11,Desmodium + Napier,Rubona,yes,-1.55,4.127350146,76.92585509
6,622L,2.87,2.875,15.162,4,Desmodium,3,16,Desmodium,Rubona,no,-1.55,4.127350146,22.05870898
6,623L,2.996,3.44,14.233,4,Desmodium,3,17,Desmodium + maize,Rubona,yes,-1.55,4.127350146,12.10688312
6,625L,2.951,-1.558,14.922,4,Desmodium,3,18,Desmodium + Brachiaria,Rubona,yes,-1.55,4.127350146,100.1409108
6,628L,2.662,2.911,16.361,4,Desmodium,3,20,Desmodium + Napier,Rubona,yes,-1.55,4.127350146,21.42461034
6,631L,2.921,-0.148,15.018,4,Desmodium,4,22,Desmodium + Brachiaria,Rubona,yes,-1.55,4.127350146,75.30538079
6,634L,3.168,2.545,13.776,4,Desmodium,4,24,Desmodium,Rubona,no,-1.55,4.127350146,27.87127983
6,636L,3.459,-1.714,12.823,4,Desmodium,4,26,Desmodium + Napier,Rubona,yes,-1.55,4.127350146,102.8886716
6,639L,2.861,2.634,14.907,4,Desmodium,4,28,Desmodium + maize,Rubona,yes,-1.55,4.127350146,26.30364709
6,643L,3.447,1.779,12.709,4,Desmodium,1,3,Desmodium,Karama,no,-1.55,4.557221779,45.49076289
6,645L,3.802,3.74,11.457,4,Desmodium,1,5,Desmodium + maize,Karama,yes,-1.55,4.557221779,13.38123632
6,647L,3.737,0.305,11.819,4,Desmodium,1,6,Desmodium + Brachiaria,Karama,yes,-1.55,4.557221779,69.62612351
6,651L,3.563,3.117,12.299,4,Desmodium,2,8,Desmodium + maize,Karama,yes,-1.55,4.557221779,23.58227408
6,653L,3.588,-0.017,12.363,4,Desmodium,2,9,Desmodium + Brachiaria,Karama,yes,-1.55,4.557221779,74.89857
6,656L,3.139,-1.7,13.998,4,Desmodium,2,11,Desmodium + Napier,Karama,yes,-1.55,4.557221779,102.4561086
6,658L,3.577,2.466,12.44,4,Desmodium,2,12,Desmodium,Karama,no,-1.55,4.557221779,34.24178545
6,662L,3.152,-0.072,13.774,4,Desmodium,3,16,Desmodium,Karama,no,-1.55,4.557221779,75.79914315
6,663L,3.459,4.128,12.575,4,Desmodium,3,17,Desmodium + maize,Karama,yes,-1.55,4.557221779,7.028102043
6,665L,3.472,3.166,12.712,4,Desmodium,3,18,Desmodium + Brachiaria,Karama,yes,-1.55,4.557221779,22.77994527
6,668L,2.826,-1.902,15.35,4,Desmodium,3,20,Desmodium + Napier,Karama,yes,-1.55,4.557221779,105.7636682
6,674L,3.534,3.151,12.431,4,Desmodium,4,24,Desmodium,Karama,no,-1.55,4.557221779,23.02555613
6,676L,3.332,-1.146,13.206,4,Desmodium,4,26,Desmodium + Napier,Karama,yes,-1.55,4.557221779,93.38488081
6,236L,2.724,-1.912,15.267,2,Desmodium,4,26,Desmodium + Napier,Rubona,yes,-1.55,4.127350146,106.3762141
1,216L,2.813645961,-0.819230456,15.55681817,2,Desmodium,2,11,Desmodium + Napier,Rubona,yes,-1.55,4.127350146,87.12833409
2,239L,2.715877807,2.949163625,16.13561138,2,Desmodium,4,28,Desmodium + maize,Rubona,yes,-1.55,4.127350146,20.75240194
2,276L,2.2065,-0.6965,19.7265,2,Desmodium,4,26,Desmodium + Napier,Karama,yes,-1.55,4.557221779,86.024742
3,31L,2.838770231,0.672121964,15.07110645,1,Desmodium,4,22,Desmodium + Brachiaria,Rubona,yes,-1.55,4.127350146,60.85987466
3,405L,1.4985,3.076,87.307,3,Desmodium,1,5,Desmodium + maize,Rubona,yes,-1.55,4.127350146,18.51832491
4,431L,2.2115,-3.573,28.29,3,Desmodium,4,22,Desmodium + Brachiaria,Rubona,yes,-1.55,4.127350146,135.6328207
4,43L,2.763276367,3.820267602,15.24998772,1,Desmodium,1,3,Desmodium,Karama,no,-1.55,4.557221779,12.06693
5,607L,3.7815,1.739,1.0695,4,Desmodium,1,6,Desmodium + Brachiaria,Rubona,yes,-1.55,4.127350146,42.0680438
5,618L,3.8395,2.7235,1.165,4,Desmodium,2,12,Desmodium,Rubona,no,-1.55,4.127350146,24.72720742
6,671L,3.4005,-0.1555,12.951,4,Desmodium,4,22,Desmodium + Brachiaria,Karama,yes,-1.55,4.557221779,77.16637695
6,679L,3.562,2.975,11.9265,4,Desmodium,4,28,Desmodium + maize,Karama,yes,-1.55,4.557221779,25.90739023
6,68L,2.794083381,0.258544998,15.0405532,1,Desmodium,3,20,Desmodium + Napier,Karama,yes,-1.55,4.557221779,70.38678039
